,Rating,Title,Review,Review_Date
37,4.0,I don't like,I don't like this phone,25 November 2022
38,4.0,Review after using 2+ Months of usage,Con's1. Getting heat while charging2. Average camera quality (feoont & back)3. Mobile data turning off in middle for a secPro's1. Fast charging2. Transparent pouch quality good.3. Screen recording while playing PUBG will be lagging4. Not suitable for heavy gaming,21 November 2022
39,4.0,Good but not awsom,"I like display,fill in hand",23 November 2022
40,4.0,Great phone,Great phone go for it but little slow,Reviewed in India 🇮🇳 on 22 November 2022
41,4.0,Good phone,The phone has very good features. Easy to use,Reviewed in India 🇮🇳 on 19 November 2022
42,4.0,Battery drain very speed and oppo features... high price...low features,Don't like this model....high price this company...,Reviewed in India 🇮🇳 on 26 November 2022
43,4.0,Best smartphone in this category,Packaging is all good product is safe.,Reviewed in India 🇮🇳 on 26 November 2022
44,4.0,Super nice,Super nice 👍,Reviewed in India 🇮🇳 on 28 November 2022
45,4.0,Theek thak hai,Theek thak hai,Reviewed in India 🇮🇳 on 23 November 2022
46,4.0,"Good phone in this price range,","To be honest satisfied, features are difficult to use , overall nice 👍",Reviewed in India 🇮🇳 on 19 November 2022
47,4.0,Good mobile,Battery life is good,Reviewed in India 🇮🇳 on 20 November 2022
48,4.0,Is a good phone,All are best  features in this range.,Reviewed in India 🇮🇳 on 14 November 2022
49,4.0,Nice product,Nice product for budget,Reviewed in India 🇮🇳 on 18 November 2022
50,4.0,Ok,Camera quality improve,Reviewed in India 🇮🇳 on 24 November 2022
51,4.0,Flawless mobile,"Somewhat disappointment on display, many brands are providing amoled displays under this price category. Apart from this everything is fine",Reviewed in India 🇮🇳 on 15 November 2022
52,4.0,Amazing,"Very good , fast phone",Reviewed in India 🇮🇳 on 18 November 2022
53,4.0,Best smartphone in this range,Best smart phone in this range,Reviewed in India 🇮🇳 on 16 November 2022
54,4.0,Decent Specs at 20k budget,"Like: Battery even after heavy use, lasts for more than a day. Charging is superfast. High resolution games can be played seemlessly without any lags.Dislikes: Dialer is very basic. Camera has limited features.",Reviewed in India 🇮🇳 on 20 November 2022
55,4.0,Just expected OnePlus things and The expectations matched,Camera quality is not very good and except this all the features are quiet enough to attract you,Reviewed in India 🇮🇳 on 16 November 2022
56,4.0,Uttam,Best budget phone,Reviewed in India 🇮🇳 on 23 November 2022
57,4.0,Nice phone,குறைந்த விலை தரமான போன்,Reviewed in India 🇮🇳 on 18 November 2022
58,4.0,Good product,Good product,Reviewed in India 🇮🇳 on 29 November 2022
59,4.0,Nice budget phone,One plus budget phone,Reviewed in India 🇮🇳 on 24 November 2022
60,4.0,Excellent except battery life,Excellent except battery life,26 November 2022
61,4.0,For normal usage this phone is best,If u are not a game addict then this phone is for uhh game like bgmi nd all......battery lyf is superb.... something it slow down during online payment other than that ig does not hang,10 November 2022
62,4.0,Phone is good but Battery life is very poor.,,24 November 2022
63,4.0,Light weight & comfortable phone,,24 November 2022
64,4.0,After one month used,"1.No bloatwares, oxygen OS is best2.Display Quality is amazing3.Battery Back Up is not up to mark4. Camera quality is best5. Light weight and slim size6. Good deal if you got under 22k-23k price range",23 November 2022
65,4.0,Camera and finger print very poor,Camera and finger print very poor,18 November 2022
66,4.0,Go for it....,Youtubers go for it...nice camera result....,26 November 2022
67,4.0,Overall good in this price,Good 👍,23 November 2022
68,4.0,Best phone to use on this price range.,"Writing after use of one week. Charging quickly, camera quality, battery life overall good. We can go for this mobile",17 November 2022
69,4.0,Good Phone (Just Price is Little Higher),"I am writing this review after using 5 Days this phone & 1.5 Month use of Motorola Moto G62.Performance, Camera, Battery Life, functionality of this phone is more & far Better than Moto G62.Pros.  Performance, Battery, Camera, Fast Charging (0-100% Charging in 1 hours & 10 Minutes (this is real data after charging 3 times after purchasing)).Cons.  No Measure Cons.  1- Just Price is Little higher.  2-Just some Software functions like Small Menu Apps Grid (Matrix) Bar, Font Style & Small Font Size looking like Large(That should have to be smaller than given.  There should have to option for the reduction of Small Apps Grid (Matrix) Size.",17 October 2022
70,4.0,Nice phone,This segment is best phone don't go to other band like IQQ00 and else,Reviewed in India 🇮🇳 on 22 November 2022
71,4.0,कुछ दिन चलाने के बाद ही पता चलेगा,ठीक है।,Reviewed in India 🇮🇳 on 27 November 2022
72,4.0,Good,Good mobile,Reviewed in India 🇮🇳 on 16 November 2022
73,4.0,All good in that budget,Good purchase,Reviewed in India 🇮🇳 on 20 November 2022
74,4.0,Overall good,Camera,Reviewed in India 🇮🇳 on 25 November 2022
75,4.0,Great smart phone under this price,Camera is awesome,Reviewed in India 🇮🇳 on 21 November 2022
76,4.0,Phone must bt battery life 8 hours or charging 45 mint,,Reviewed in India 🇮🇳 on 26 November 2022
77,4.0,Good,I like it,Reviewed in India 🇮🇳 on 26 November 2022
78,4.0,Good,Good,Reviewed in India 🇮🇳 on 24 November 2022
79,4.0,Ok,Super,Reviewed in India 🇮🇳 on 25 November 2022
80,4.0,OnePlus,OnePlus wonderful mobile...,20 November 2022
81,4.0,Very good,Very good,28 November 2022
82,4.0,very good,Like,21 November 2022
83,4.0,Very good features phone,"Very good phone in this price range. Battery backup, camera quality, finger print reader and all features are nice. I enjoy with this phone. Thanks amazon",10 November 2022
84,4.0,It's overall it is super☺️,☺️☺️☺️☺️,22 November 2022
85,4.0,I wanted to buy matching phone,from the looks it looks pretty amazing but we have to see how it works,13 November 2022
86,4.0,Balanced Phone for people looking out for an Daily use and Futuristic 5G Phone,Balanced Phone for people looking out for an Daily use and Futuristic 5G Phone.,10 November 2022
87,4.0,Budget affordable,Quality,20 November 2022
88,4.0,Nice,Nice,25 November 2022
89,4.0,Good product,Good,24 November 2022
90,4.0,Camera can be more good at this price😅.,,22 November 2022
91,4.0,Good,Excellent mobile,21 November 2022
92,4.0,I am happy,25din ho gye ... Bdhiya hai abhi tk to.... Battery 2din me charge krni pdti hai... Camera mujhe bht achha lga... Touch b achha h,6 November 2022
93,4.0,nice,the battery drain a little fast otherwise everything is perfect,25 November 2022
94,4.0,Average phone,"Average phone, fingerprint sensor is not up to the mark..",25 November 2022
95,4.0,Most beautiful and most bajetfull this price,Nice,18 November 2022
96,4.0,Satisfied,"Overall Good Product, happy with it.",26 November 2022
97,4.0,Good,Good,18 November 2022
98,4.0,Ok,Overall good. Camera quality and screen brightness are the two issues. Rest is much satisfactory,29 November 2022
99,4.0,Best wishes,Nice 1Plus,16 November 2022
100,4.0,Ek no,V good product,23 November 2022
101,4.0,excellent so far,Good experience till date.,21 November 2022
102,4.0,Design & color,All is good,23 November 2022
103,4.0,Very Nice Phone,Nice Mobile Launch on this price,17 November 2022
104,4.0,Soft touch,Good Product Good Product Good Product Good Product,29 November 2022
105,4.0,Everything good except the front camera,"The features,the battery life,the sensors,the smoothness everything is good except the camera quality.The front camera is not as good as other one plus sets.",17 November 2022
106,4.0,After 5 month charger does not working,After 5 month charger does not working please do the needful,14 November 2022
107,4.0,Good performance,Good performance and sensitivity but dark images in low light zones. Semiamoled display,17 November 2022
108,4.0,I think it's very good for to get ur battery charged fast,I think it's very good for to get ur battery charged fast,15 November 2022
109,4.0,Nice mobile in this price range camera can be better,Ovrrall i like the phone in this price range ..2sim and dedicated memory card supported,12 November 2022
110,4.0,Found few bugs,"My display sleep mode changes frequently, it goes to 15 sec automatically even I have made it to 1 min.I dnt see message count for application. It just show dots when any notification is received. I have opted for both number and dot. Then too I  can see only dot.Also finger sensor doesnot work smoothly.",1 November 2022
111,4.0,Nice budget phone,Display brightness is little bit low speaker are not up to mark,11 November 2022
112,4.0,Everything is fine but Battery 🔋 life is not good.,Finger print ossum battery life not going camera average,11 November 2022
113,4.0,Very nice,Good product 👍Proceedings 👍Back Camera 👍 front not goodDisplay very nice ☺️Battery is 👍,8 November 2022
114,4.0,Very nice,Very nice,6 November 2022
115,4.0,Mobile is excellent,"Alexa not working properly after 2 days, otherwise mobile working is nice",10 November 2022
116,4.0,Worth purchase. Good phone at decent price.,"Battery life, fingerprint is good and camera quality is excellent.",16 November 2022
117,4.0,Super mobile,Good cemara amoled disply power full battery totlly good,17 November 2022
118,4.0,A decent package for non gamers and everything thing is decent not the best out there,"The media could not be loaded.
                



 Build quality - Rating 7.5 : One of the light weight phones out there and has to say it's quite comfortable for one hand usage and even the material used is polycarbonate but gets the job done but doesn't matter if back cover is there . In terms of styling it's similar to oppo phone but i liked it but won't recommend gray one as it attaches fingerprints but if you are going to use back cover then it doesn't matterDisplay -  Rating 8 : Really good amoled plan and 90hz refresh rate works well wish it could have been 120hz . But the bottom chin is quite thick that is the only thing and yes there is gorilla glass 5 protection and screen guard pre applied too . But the panel on this one is the not the best out there but it's pretty decent as wellPerformance - Rating 9 :Dimensity 900 with ufs 2.2 and lppdr4x Ram gets the job done for regular day to day operations and I didn't played games so can't say but considering this soc is pretty good you can expect 50 fps stable in bgmi and cod . Still I would say this processor is good but competition is offering better so you decide . For me gaming doesn't matter and for next 2 years it can last me easily for normal.usageSoftware- 8.5 : biggest con is Android 11 based on oxygen OS or should I say future color oos 😂 but overall it's quite stable and no bugs as of now but still can't say a lot will have to wait for Android 12 to have better ideaCamera -  Rating 7.5 : 64mp is decent I was atleast expecting samsung sensor though but they provided omnivison sensor which gets the job done but to be Frank I am not into camera that much so better to check other reviews and video stability in 1080p is good and 8mp ultratwide is decent as well . Still the camera is not the best out there again I am saying this because others are offering better but OnePlus managed to give decent thingsBattery -  Rating 9: on 90hz refresh rate with 40 percent brightness and dark mode excluding gaming it gives 7 hrs of sot from 99 to 89 on wifi network and then 89 to 59 on jio network and rest remaining on wifi . So battery for normal tasks can last more than 1.5 day . Charging takes about 30 minutes to charge from 10 percent to 99 which is pretty fastSpeakers -  6: pathetic only single speaker and quality is moderate5g bands - 8 bands so it' is futuristicCall quality - Rating 10 :  it's amazing pretty loud and none of the parties ever complained about my voice that is getting mumbledSo to conclude you can buy this one if you only care for OnePlus and you want to try OnePlus for the first time . I was even getting mi 11 lite ne 5g at same price but rejected it due to miui . So for normal users and those who want a stable software without any ads or notification or bloatwares its good",26 February 2022
119,4.0,Good product for this price range. Satisfied,Overall satisfied with the product quality and performance. Good product under this price range. The battery charging is fast and the battery backup easily lasts for a whole day with normal use ( didn't try playing heavy games),1 November 2022
120,4.0,Osm,Osm but futures less,Reviewed in India 🇮🇳 on 15 November 2022
121,4.0,Good phone for daily needs,Bought this phone for my Dad who wanted to chuck away his redmi note 7. He is not a gamer and wanted a phone that doesn't hung or pop some odd instructions during UPI or credit card payments or any transactions whatsoever.  Oxygen OS is light and very user friendly. No confusions at all unlike mini for the elderly.,Reviewed in India 🇮🇳 on 5 November 2022
122,4.0,Good battery and camera quality also perfect,Could have been in display fingerprint censor,Reviewed in India 🇮🇳 on 10 November 2022
123,4.0,Good,I like this products,Reviewed in India 🇮🇳 on 13 November 2022
124,4.0,Best Buy But not the least,"Best with the price range, Camera quality is not as expected. Battery life is shorten for heavy user. Games functions well and smooth. I'm satisfied with my budget.",Reviewed in India 🇮🇳 on 6 November 2022
125,4.0,Cemara,Camara clarity is not good,Reviewed in India 🇮🇳 on 11 November 2022
126,4.0,Good,Good,Reviewed in India 🇮🇳 on 6 November 2022
127,4.0,Camera quality is low as compared to brand,It’s give you comfort,Reviewed in India 🇮🇳 on 15 November 2022
128,4.0,All over good,Fingerprint reader is requre to improve,Reviewed in India 🇮🇳 on 10 November 2022
129,4.0,Overall a good buy,"A good quality product to buy under 20k. Ample space, good quality pictures and wider screen",Reviewed in India 🇮🇳 on 10 November 2022
130,4.0,Good,As you know one plus low cast phone material how to except all things,Reviewed in India 🇮🇳 on 9 November 2022
131,4.0,Nice phone,It's good phone from good brandCamera is greatBattery is superbYet to explore 5gOverall nice phone at this price,Reviewed in India 🇮🇳 on 9 November 2022
132,4.0,Mast,,Reviewed in India 🇮🇳 on 8 November 2022
133,5.0,Processor is too smooth in operating,It's a review after using 2 month useProcessor working is too good I'm not face any hanging problem so farCamera - selfie is amezing but rear camera need some improvement ( but not bad) so it's rating like 4 starBattery charging so rapidly but it's battery is a 4500amh so it's also need upgradeIn display fingerprint makes it so premium and it's working is so intenseAnd a major plus point it's OnePlus so never Settle 😍Good bye/radhe radhe 🙏,Reviewed in India 🇮🇳 on 23 November 2022
134,4.0,Ho,GoodNice,Reviewed in India 🇮🇳 on 12 November 2022
135,4.0,Good as expected,Good as expected,Reviewed in India 🇮🇳 on 11 November 2022
136,4.0,Good Battery life with 65w charger,Camera can be much better,Reviewed in India 🇮🇳 on 11 November 2022
137,4.0,Camera poor quality,Camera quality low,Reviewed in India 🇮🇳 on 10 November 2022
138,4.0,Good Budget friendly phone,If you want to take this phone just take it coz it doesn't have any kind of blotware and is best budget friendly mobile,Reviewed in India 🇮🇳 on 3 November 2022
139,4.0,Very nice camera,Battery goodCamera 🤳 nice,Reviewed in India 🇮🇳 on 9 November 2022
140,4.0,Overall good,Overall good,10 November 2022
141,4.0,Android auto doesn't work,Unable to use Android auto.. camera is moderately good.. charges very quickly and works well for the day..,12 November 2022
142,4.0,Nice phone,Nice phone,13 November 2022
143,4.0,Good phone,Good phone in this price range,9 November 2022
144,4.0,Nice ☺️👍,Nice 😊👍,10 November 2022
145,4.0,Ok ok,Kabhi kabhi call ki ring aati hai but dikhti nahi . Choti choti problem hai.,5 November 2022
146,4.0,V good,V good,10 November 2022
147,4.0,Everything good only camera quality bad,Perfomance super and remaining all features good.camera quality very very bad 😞,6 November 2022
148,4.0,Product is slim and good.,"Overall Product is really good. But I've issues with BSNL network; particularly with this product.And in my residential area there is no other good network other than BSNL.With using this phone I've experienced Poor network connectivity, no clear sound and frequently my Calls get disconnected.NB- (No issues of network while using same SIM card in my old poco X2 @same time.).Thanks to team Amazon for considering this issue and refunding my money. You people are really good and genuine.6 star 🌟 for your service.I've ordered Redmi note 11 pro plus 5g  from Amazon only.",25 October 2022
149,4.0,average,all is ok but i didn't get the back panel micro camera glass.,9 November 2022
150,4.0,Good,Good,10 November 2022
151,4.0,Good smartphone at decent price.,Awesome display and built quality.Camera quality is best in class.At first the battery life seems to be an issue but it lasts full day. (Charger is very fast. Takes half hour to full),5 November 2022
152,4.0,Best value for money,"Phone screen is very good, battery life is also very good, camera could have been better but at the price is good",3 November 2022
153,4.0,Fon is good quality and canara best quality,I am so very happy with this phone,9 November 2022
154,4.0,Overall it's a good mobile with nice features,,9 November 2022
155,5.0,Worth for price,"Its been 1 month since i am using this phone and the experience was really really good. Most loving thing is its camera. Night scape is insane man its too OP but it drains insane battery power too. And the steady mode- i compared my phone to my friend's phone and guess what i won against 4 phones, OnePlus nord ce,realme 9i samsund a23 and another samsung that i dont remember but its price was also 25k. And most loving people game like genshin impact, bgmi, asphalt 89,new state ,cod etc they run in this phone like game is nothing for this phone, So u can go for it without thinking",12 November 2022
156,4.0,फोन हैंग बहुत करता है।,हैंग की समस्या है। I think samsung is best option.....,6 November 2022
157,4.0,Awesome,Good Quality Phone,3 November 2022
158,4.0,"Everything is ok,",Normal phone nothing special,12 November 2022
159,4.0,Battery backup not good,Battery backup only one day more good,8 November 2022
160,4.0,Good,Decent enough at this price.,Reviewed in India 🇮🇳 on 5 November 2022
161,4.0,Nice products,Good looking a smart phone,Reviewed in India 🇮🇳 on 2 November 2022
162,4.0,It is good,Battery is good,Reviewed in India 🇮🇳 on 10 November 2022
163,4.0,Average phone under this price category.,"If you are looking for camera phone then this is not the one, average camera quality, good battery backup, overall performance is very good.",Reviewed in India 🇮🇳 on 1 November 2022
164,4.0,Good,Good,Reviewed in India 🇮🇳 on 7 November 2022
165,4.0,Good,Good product,Reviewed in India 🇮🇳 on 18 November 2022
166,4.0,Excellent and worthy,No comment,Reviewed in India 🇮🇳 on 9 November 2022
167,4.0,Nice,"Camera quality good, battery life is also good",Reviewed in India 🇮🇳 on 7 November 2022
168,4.0,Sab kuchh sahi hai but network ki problem hai h.,Only one problem network strength is very low and week. fingerprint aftar 2 week not working properly also all is well.,Reviewed in India 🇮🇳 on 1 November 2022
169,4.0,Features very good,Good product,Reviewed in India 🇮🇳 on 9 November 2022
170,4.0,👍🏻❤️,Nice product recieved 👍🏻👍🏻❤️,6 November 2022
171,4.0,Very good,Very good,9 November 2022
172,4.0,This range mobile good,This range mobile is good but some time hanging problem on this device,5 November 2022
173,4.0,Reasonable at this price,"Phone is quite good at the price of Rs. 17,500 (after bank discount).",2 November 2022
174,4.0,"Camera quality is the best,  battery package is good","Mobile is stylish and friendly options, can say camera quality is far good",30 October 2022
175,4.0,Front camera not gud,"The media could not be loaded.
                



 Improve front camera and battery 🔋",27 November 2022
176,4.0,Camera quality is very low quality.,Plz improve camera quality and flash light. Call recording function improve like as Samsung.,26 October 2022
177,4.0,Nice phone,,1 November 2022
178,4.0,Mobile is best,Need to upgrade the battery lifeMobile is best nord ce 2Small disadvantage is  battery backup and mono speaker,25 October 2022
179,4.0,Flash light is very low.,Updated version is not available in this phone. upgrade flash light so we can take clearly pics during at night .,26 October 2022
180,4.0,Nice Phone👍👍,Overall phone is very goodCamera quality also very niceSmoothly workingBattery charging is fast  this is the best quality of this phoneNow this is the nice Phone in this price .👍👍👍👍👍,Reviewed in India 🇮🇳 on 29 October 2022
181,4.0,"Battery life, display & camera",I m using this phone and writing this review after 2 months. Battery backup is average. Display is also good. Speaker sound may be improved.Rear camera is good but 🤳 selfie/front camera giving blurred photos from last 01 weeks days.,Reviewed in India 🇮🇳 on 28 October 2022
182,4.0,Decent for Normal Daily Use. Not for Gaming Purpose as it drains battery life faster,"(Note- I have purchased this phone on the Event of Great Indian Festival after putting offer of SBI Card and get it within the price range of 24,1998 GB RAM + 128 GB ROM VariantThis is a very Good Product between a very budgetable and affordable price range. OnePlus has done good job.My Review Ratings (Out of 10)Camera Quality- 7/10Battery Life- 8/10Screen Type and Picture Quality- 8/10Gaming- 6/10Normal Use- 10/10Price Range- 5/10I hope this review will help you guys to get guided for purchasing this phone.Thanks",Reviewed in India 🇮🇳 on 16 October 2022
183,4.0,Click is beautiful.,It can capture even the tiniest details of the pics clicked.,Reviewed in India 🇮🇳 on 30 October 2022
184,4.0,Battery life is not expected from one plus,Battery life is poor. Rest is really good,Reviewed in India 🇮🇳 on 4 November 2022
185,4.0,Medium Quality,Chalania,Reviewed in India 🇮🇳 on 2 November 2022
186,4.0,It's very good budget friendly phone,"The camera, battery and overall phone is good",Reviewed in India 🇮🇳 on 2 November 2022
187,4.0,"Overall good performance, however ram consume more space even least app's install","Overall good performance, however ram consume more space even least app's install",Reviewed in India 🇮🇳 on 28 October 2022
188,4.0,Camera clarity better,,Reviewed in India 🇮🇳 on 28 October 2022
189,4.0,SUPERPHONE,The camera quality is very good,Reviewed in India 🇮🇳 on 29 October 2022
190,4.0,Good,Good product,Reviewed in India 🇮🇳 on 4 November 2022
191,4.0,Value for money,Good one,Reviewed in India 🇮🇳 on 6 November 2022
192,4.0,Average,"In this price camera was not that great and charging also using in 120hz i felt like it draining too fast but charges in 20mins rapidly, very light weight , single speaker but loud enough and performance is very smooth bcz of 120hz",Reviewed in India 🇮🇳 on 1 November 2022
193,4.0,Review,"I am happy to have this product , camera quality is good",Reviewed in India 🇮🇳 on 29 October 2022
194,4.0,Overall good,I will prefer to buy this with out pausing,Reviewed in India 🇮🇳 on 26 October 2022
195,4.0,Camera quality good within a range but let nhi distance picture quality not good,One issue of heating during charging in this phone,Reviewed in India 🇮🇳 on 29 October 2022
196,4.0,Camera quality is not bad at this price range but you can expect tooo,Personaly i suggest front camera is good or in low light back camera is performed well....but sometimes it campture photo live oppo and Vivo camera with white effect,Reviewed in India 🇮🇳 on 28 October 2022
197,4.0,amazing allrounder,camera needs to be improved,Reviewed in India 🇮🇳 on 7 November 2022
198,4.0,Battery is good,"Camera clarity is not good compare to realme mobiles, previously I'm using realme mobile, realme only good for compare to OnePlus.",Reviewed in India 🇮🇳 on 25 October 2022
199,4.0,Best Mobile for 19K,Amazing phone with best options....by Jaya Vardhan Sannithi,Reviewed in India 🇮🇳 on 2 November 2022
200,4.0,OnePlus Nord ce2,Good budget mobile on oneplus,Reviewed in India 🇮🇳 on 29 October 2022
201,4.0,Battery jaldi down ho jati h,Battery jaldi down ho jati h,Reviewed in India 🇮🇳 on 28 October 2022
202,4.0,Very Good but camera quality is average,Camera,Reviewed in India 🇮🇳 on 8 November 2022
203,4.0,Nice phone,Very nice phone. Battery last for full day once charged. Camera quality is good. Worth for money,Reviewed in India 🇮🇳 on 26 October 2022
204,4.0,Amazing,,Reviewed in India 🇮🇳 on 5 November 2022
205,4.0,Hmmm...nice phone,Good phone,Reviewed in India 🇮🇳 on 1 November 2022
